geneid	start	end	synonyms
lpxD	200971	201996	['ECK0178', 'firA', 'omsA']
fabZ	202101	202556	['ECK0179', 'sabA1', 'sefA', 'sfhC21', 'yaeA']
lpxA	202560	203348	['ECK0180']
lpxB	203348	204496	['ECK0181', 'pgsB']
rnhB	204493	205089	['ECK0182']
dnaE	205126	208608	['ECK0183', 'polC', 'sdgC']
accA	208621	209580	['ECK0184']
ldcC	209679	211820	['ECK0185', 'ldc', 'ldcH']
yaeR	211877	212266	['ECK0186']
tilS	212331	213629	['ECK0187', 'mesJ', 'yaeN']
rof	213678	213932	['ECK0188', 'yaeO']
yaeP	213925	214125	['ECK0189']
yaeQ	214291	214836	['ECK0190']
arfB	214833	215255	['ECK0191', 'yaeJ']
nlpE	215269	215979	['cutF', 'ECK0192']
yaeF	216179	217003	['ECK0193', 'yaeK']
proS	217057	218775	['drp', 'drpA', 'ECK0194']
trmO	218887	219594	['ECK0195', 'tsaA', 'yaeB']
rcsF	219591	219995	['ECK0196']
metQ	220113	220928	['ECK0197', 'metD', 'yaeC']
metI	220968	221621	['ECK0198', 'metD', 'yaeE']
metN	221614	222645	['abc', 'ECK0199', 'metD']
gmhB	222833	223408	['ECK0200', 'yaeD']
rrsH	223771	225312	['ECK0201']
ileV	225381	225457	['ECK0202']
alaV	225500	225575	['ECK0203']
rrlH	225759	228662	['ECK0204']
rrfH	228756	228875	['ECK0205']
aspU	228928	229004	['ECK0206']
dkgB	229167	229970	['ECK0207', 'yafB']
yafC	229967	230881	['ECK0208']
yafD	231122	231922	['ECK0209']
yafE	231926	232549	['ECK0210']
mltD	232597	233955	['dniR', 'ECK0211', 'yafG']
gloB	234027	234782	['ECK0212', 'yafR']
ykfO	234288	234320	['ECK4672']
yafS	234816	235538	['ECK0213']
rnhA	235535	236002	['cer', 'dasF', 'ECK0214', 'herA', 'rnh', 'sdrA', 'sin']
dnaQ	236067	236798	['ECK0215', 'mutD']
aspV	236931	237007	['ECK0216']
yafT	237335	238120	['ECK0217']
ykfM	238257	238736	['ECK4397']
yafU	238746	239084	['ECK0218']
yafF	239190	239378	['ECK0219']
yafV	239419	240189	['ECK0220']
ivy	240343	240816	['ECK0221', 'ykfE']
fadE	240859	243303	['ECK0222', 'yafH']
gmhA	243543	244121	['ECK0223', 'lpcA', 'tfrA', 'yafI']
yafJ	244327	245094	['ECK0224']
dpaA	245065	245805	['ECK0225', 'ldtF', 'yafK']
yafQ	245961	246239	['ECK0226']
dinJ	246242	246502	['ECK0227', 'sosA']
yafL	246712	247461	['ECK0228']
rayT	247637	248134	['ECK0229', 'yafM']
lfhA	248358	250070	['ECK0230', 'fhiA']
lafU	250072	250827	['ECK0231', 'mbhA']
dinB	250898	251953	['dinP', 'ECK0232']
yafN	252005	252298	['ECK0233']
yafO	252301	252699	['ECK0234']
yafP	252709	253161	['ECK0235']
ykfJ	253467	253733	['ECK0236']
prfH	253702	254202	['ECK0237']
pepD	254259	255716	['ECK0238', 'pepH']
gpt	255977	256435	['ECK0239', 'glyD', 'gpp', 'gxu']
frsA	256527	257771	['ECK0240', 'yafA']
crl	257829	259006	['ECK0241']
insB9	257923	258426	['ECK4567']
insA9	258345	258620	['ECK4566']
crl	258676	259006	['ECK0241']
phoE	259045	260100	['ECK0242', 'ompE']
proB	260388	261491	['ECK0243', 'pro(2)', 'pro2']
proA	261503	262756	['ECK0244', 'pro(1)', 'pro1']
thrW	262871	262946	['ECK0245']
ykfN	263150	263212	['ECK4458']
ykfI	263328	263669	['ECK0246']
yafW	263690	264007	['ECK0247']
ykfH	264026	264247	['ECK0248']
ykfG	264256	264732	['ECK0249']
yafX	264748	265206	['ECK0250']
ykfF	265304	265543	['ECK0251']
ykfB	265620	266087	['ECK0252']
yafY	266110	266553	['ECK0253']
ykfL	266553	266774	['ECK4445']
ykfK	266776	266967	['ECK4444']
yafZ	267184	268005	['ECK0254']
ykfA	268097	268960	['ECK0255']
perR	269289	270182	['ECK0256']
insN	270278	272190	['b0255', 'b0257', 'ECK0257', 'yi91a']
insI1	270603	271754	['ECK0258', 'tra8-1']
insN	271764	272190	['b0255', 'b0257', 'ECK0257', 'yi91a']
eyeA	272580	272654	['ECK4506']
ykfC	272847	273992	['ECK0260']
insH1	274101	275081	['ECK0261', 'trs5', 'trs5-1', 'yi52_1']
mmuP	275325	276728	['ECK0262', 'ykfD']
mmuM	276715	277647	['ECK0263', 'yagD']
afuC	277756	278802	['ECK0264', 'fbpC', 'yagC']
afuB	278814	279162	['ECK0265', 'fbpB']
insB2	279178	279681	['ECK0022']
insA2	279600	279875	['ECK0023']
insI2	279931	280104	['ECK4564']
insX	280114	280362	['ECK0266', 'ECK4473', 'ykgN']
yagB	280385	280735	['ECK0267']
yagA	280829	281983	['ECK0268']
yagE	282278	283186	['ECK0269']
yagF	283201	285168	['ECK0270']
yagG	285395	286777	['ECK0271']
yagH	286789	288399	['ECK0272']
xynR	288404	289162	['ECK0273', 'yagI']
argF	289301	290305	['ECK0274']
argL	290275	290370	['ECK4623']
ykgS	290510	290638	['ECK4504']
insB3	290649	291152	['ECK0022']
insA3	291071	291346	['ECK0023']
yagJ	291500	292231	['ECK0275']
yagK	292322	292948	['ECK0276']
yagL	293220	293918	['ECK0277']
yagM	293945	294799	['ECK0278']
ykgV	294918	295142	['ECK4586']
yagN	295139	295579	['ECK0279']
intF	295696	297096	['ECK0280', 'yagO']
yagP	297381	297791	['b4695', 'ECK0281', 'ykgT']
paoD	297770	298726	['ECK0282', 'yagQ']
paoC	298736	300934	['ECK0283', 'yagR']
paoB	300931	301887	['ECK0284', 'yagS']
paoA	301884	302573	['ECK0285', 'yagT']
yagU	302991	303605	['ECK0286']
ykgJ	303853	304182	['ECK0287']
ecpE	304495	305205	['ECK0288', 'matF', 'yagV']
ecpD	305174	306817	['ECK0289', 'matE', 'yagW']
ecpC	306807	309332	['ECK0290', 'matD', 'yagX']
ecpB	309358	310026	['ECK0291', 'matC', 'yagY']
ecpA	310084	310671	['ECK0292', 'matB', 'yagZ']
matA	310746	311336	['ECK0293', 'ecpR', 'ykgK']
ykgL	312112	312339	['ECK0294']
ykgO	312374	312514	['ECK0295']
ykgM	312514	312777	['ECK0296']
ykgR	313141	313242	['ECK4486']
ykgP	313716	313805	['ECK4446']
eaeH	314357	315244	['ECK0297']
insE1	315291	315590	['ECK0298']
insF1	315587	316453	['ECK0299', 'tra5-5']
ykgA	316450	317136	['ECK0300']
ykgQ	317439	317567	['ECK4454']
rclC	317726	318319	['ECK0301', 'ykgB']
rclB	318331	318567	['ECK0302', 'ykgI']
rclA	318676	320001	['ECK0303', 'ykgC']
rclR	320227	321081	['ECK0304', 'ykgD']
ykgE	321608	322327	['ECK0305']
ykgF	322338	323765	['ECK0306']
ykgG	323758	324453	['ECK0307']
ykgH	324696	325364	['ECK0308']
betA	325577	327247	['ECK0309']
betB	327261	328733	['ECK0310']
betI	328747	329334	['ECK0311']
betT	329463	331496	['ECK0312']
yahV	331802	331876	['ECK4587']
pdeL	332371	333459	['ECK0313', 'yahA']
yahB	333501	334433	['ECK0314']
yahC	334525	335022	['ECK0315']
yahD	335280	335885	['ECK0316']
yahE	335925	336788	['ECK0317']
yahF	336778	338325	['ECK0318']
yahG	338325	339743	['ECK0319']
yahH	339769	340089	['ECK0320']
yahI	340165	341115	['ECK0321']
yahJ	341125	342507	['ECK0322']
yahK	342884	343933	['ECK0323']
yahL	344176	344991	['ECK0324']
yahM	345404	345649	['ECK0325']
yahN	345666	346337	['ECK0326']
yahO	346484	346759	['ECK0327']
prpR	346857	348443	['ECK0328', 'yahP']
prpB	348682	349572	['ECK0329', 'yahQ']
prpC	350012	351181	['ECK0330', 'yahS', 'yzzD']
prpD	351215	352666	['acnC', 'ECK0331', 'yahT']
prpE	352706	354592	['ECK0332', 'yahU']
codB	354922	356181	['ECK0333']
codA	356171	357454	['ECK0334']
cynR	357791	358690	['ECK0335']
cynT	358799	359458	['ECK0336']
cynS	359489	359959	['cnt', 'cyaN', 'ECK0337']
cynX	359992	361146	['ECK0338']
lacA	361249	361860	['ECK0339']
lacY	361926	363179	['ECK0340']
lacZ	363231	366305	['ECK0341']
lacI	366428	367510	['ECK0342']
mhpR	367587	368420	['ECK0343']
mhpA	368611	370275	['ECK0344']
mhpB	370277	371221	['ECK0345']
mhpC	371239	372105	['ECK0346']
mhpD	372115	372924	['ECK0347', 'mhpS']
mhpF	372921	373871	['ECK0348']
mhpE	373868	374881	['ECK0349']
mhpT	375459	376670	['ECK0350', 'yaiK']
yaiL	376772	377311	['ECK0351']
frmB	377535	378368	['ECK0352', 'yaiM']
frmA	378462	379571	['adhC', 'ECK0353']
frmR	379606	379881	['ECK0354', 'yaiN']
yaiO	380069	380842	['ECK0355']
yaiX	380844	382872	['b0359', 'b0362', 'ECK0356', 'ECK0359', 'yaiF']
insC1	381351	381716	['ECK0357', 'yi21-1']
insD1	381674	382579	['ECK0358', 'yi22-1']
yaiX	382591	382872	['b0359', 'b0362', 'ECK0356', 'ECK0359', 'yaiF']
yaiP	382739	383935	['ECK0360']
ykiC	383960	384079	['ECK4588']
yaiS	384059	384616	['ECK0361']
tauA	385232	386194	['ECK0362', 'ssiA', 'yaiR']
tauB	386207	386974	['ECK0363', 'ssiB', 'yaiQ']
tauC	386971	387798	['ECK0364', 'ssiC', 'yaiJ']
tauD	387795	388646	['ECK0365', 'ssiD', 'yaiG']
hemB	388753	389727	['ECK0366', 'ncf']
yaiT	390251	394418	['b0371', 'b0374', 'ECK0368', 'ECK0369', 'yaiU']
ytiB	391592	391648	['ECK4624']
insF2	391739	392605	['ECK0299', 'tra5-1']
insE2	392602	392901	['ECK0298']
yaiT	392970	394418	['b0371', 'b0374', 'ECK0368', 'ECK0369', 'yaiU']
iprA	394506	395129	['ECK0370', 'yaiV']
ampH	395130	396287	['ECK0371', 'yaiH']
sbmA	396639	397859	['ECK0372']
yaiW	397872	398966	['ECK0373']
yaiY	399025	399333	['ECK0374']
yaiZ	399593	399805	['ECK0375']
ddlA	399829	400923	['ECK0376']
iraP	401386	401646	['ECK0377', 'yaiB']
phoA	401747	403162	['ECK0378', 'psiA']
psiF	403281	403601	['ECK0379']
dgcC	403703	404818	['adrA', 'ECK0380', 'yaiC']
proC	404835	405644	['ECK0381', 'pro(3)', 'Pro2', 'pro3']
yaiI	405764	406222	['ECK0382']
aroL	406405	406929	['ECK0383']
yaiA	406979	407170	['ECK0384']
aroM	407428	408105	['ECK0385']
ppnP	408177	408461	['ECK0386', 'yaiE']
ykiA	408609	408950	['ECK0387']
ykiD	408947	409030	['ECK4589']
rdgC	409108	410019	['ECK0388', 'yaiD']
mak	410144	411052	['ECK0389', 'yajF']
araJ	411297	412481	['araT', 'ECK0390']
sbcC	412607	415753	['ECK0391']
sbcD	415750	416952	['ECK0392', 'yajA']
phoB	417142	417831	['ECK0393', 'phoRc', 'phoT']
phoR	417889	419184	['ECK0394', 'nmpB', 'phoR1', 'R1pho']
brnQ	419591	420910	['ECK0395', 'hrbA']
proY	420986	422359	['ECK0396', 'yajM']
malZ	422518	424332	['ECK0397']
acpH	424337	424918	['ECK0398', 'yajB']
queA	425011	426081	['ECK0399', 'tsaA']
tgt	426137	427264	['ECK0400', 'vacC(S.f.)']
yajC	427287	427619	['ECK0401']
secD	427647	429494	['ECK0402']
secF	429505	430476	['ECK0403']
yajD	430605	430952	['ECK0404']
tsx	431129	432013	['ECK0405', 'nupA', 'T6rec']
yajI	432312	432851	['ECK0406']
nrdR	433002	433451	['ECK0407', 'ybaD']
ribD	433455	434558	['ECK0408', 'nusII', 'ribG', 'ybaE']
ribE	434647	435117	['ECK0409', 'nusIII', 'ribH', 'ybaF']
nusB	435137	435556	['ECK0410', 'groNB', 'ssaD', 'ssyB']
thiL	435634	436611	['ECK0411', 'thiJ']
pgpA	436589	437107	['ECK0412', 'yajN']
yajO	437161	438135	['ECK0413']
dxs	438315	440177	['ECK0414', 'yajP']
ispA	440202	441101	['ECK0415']
xseB	441101	441343	['ECK0416', 'yajE']
thiI	441549	442997	['ECK0417', 'nuvA', 'yajK']
yajL	443051	443641	['ECK0418', 'thiJ']
panE	443604	444515	['apbA', 'ECK0419']
yajQ	444683	445174	['ECK0420']
yajR	445302	446666	['ECK0421']
cyoE	446815	447705	['ECK0422']
cyoD	447717	448046	['ECK0423']
cyoC	448046	448660	['ECK0424']
cyoB	448650	450641	['ECK0425']
cyoA	450663	451610	['ECK0426']
ampG	452070	453545	['ECK0427']
yajG	453589	454167	['ECK0428']
bolA	454472	454789	['ECK0429']
tig	455133	456431	['ECK0430']
clpP	456677	457300	['ECK0431', 'lopP']
clpX	457426	458700	['ECK0432', 'lopC']
lon	458888	461242	['capR', 'deg', 'dir', 'ECK0433', 'lopA', 'muc']
hupB	461451	461723	['dbhB', 'dpeA', 'ECK0434', 'hopD']
ppiD	461915	463786	['ECK0435', 'ybaU']
ybaV	463937	464308	['comEA', 'ECK0436']
fadM	464402	464800	['ECK0437', 'tesC', 'ybaW']
queC	464852	465547	['ECK0438', 'ybaX']
ybaE	465612	467312	['ECK0439']
cof	467412	468230	['ECK0440']
decR	468383	468841	['cyuR', 'ECK0441', 'ybaO']
mdlA	468871	470643	['ECK0442', 'mdl']
mdlB	470636	472417	['ECK0443', 'mdl']
glnK	472598	472936	['ECK0444', 'ybaI']
amtB	472966	474252	['ECK0445', 'ybaG']
tesB	474301	475161	['ECK0446']
ybaY	475379	475951	['ECK0447']
ybaZ	475982	476371	['atl', 'ECK0448']
ffs	476448	476561	['ECK0449']
ybaA	476672	477025	['ECK0450']
pdeB	477067	478617	['ECK0451', 'ylaB']
ylaC	478781	479251	['ECK0452']
maa	479367	479918	['ECK0453', 'ylaD']
hha	480090	480308	['ECK0454']
tomB	480334	480708	['ECK0455', 'ybaJ']
acrB	481254	484403	['acrE', 'ECK0456']
acrA	484426	485619	['ECK0457', 'lir', 'Mb', 'mbl', 'mtcA', 'nbsA', 'sipB']
acrR	485761	486408	['ECK0458', 'ybaH']
mscK	486536	489898	['aefA', 'ECK0459', 'kefA']
ybaM	490110	490271	['ECK0460']
priC	490285	490812	['ECK0461']
ybaN	490882	491259	['ECK0462']
apt	491412	491963	['ECK0463']
dnaX	492092	494023	['dnaZ', 'ECK0464']
ybaB	494076	494405	['ECK0465']
recR	494405	495010	['ECK0466']
htpG	495120	496994	['ECK0467']
adk	497175	497819	['dnaW', 'ECK0468', 'plsA']
hemH	498055	499017	['ECK0469', 'popA', 'visA']
aes	499014	499973	['ECK0470', 'ybaC']
gsk	500125	501429	['ECK0471']
ybaL	501562	503238	['ECK0472', 'ylaA']
fsr	503476	504696	['ECK0473']
ushA	504914	506566	['ECK0474']
ybaK	506603	507082	['ECK0475']
chiX	507204	507287	['ECK4396', 'micM', 'rybC', 'sroB']
ybaP	507286	508080	['ECK0476']
ybaQ	508218	508559	['ECK0477']
copA	508875	511379	['ECK0478', 'ybaR']
glsA	511641	512573	['ECK0479', 'ybaS']
ybaT	512576	513868	['ECK0480']
cueR	513993	514400	['copR', 'ECK0481', 'ybbI']
ybbJ	514401	514859	['ECK0482']
qmcA	514856	515773	['ECK0483', 'ybbK']
fetA	515919	516596	['ECK0484', 'ybbL']
fetB	516583	517362	['ECK0485', 'ybbM']
cnoX	517425	518279	['ECK0486', 'ybbN']
ybbO	518340	519149	['ECK0487']
tesA	519139	519765	['apeA', 'ECK0488', 'pldC']
ybbA	519733	520419	['ECK0489']
ybbP	520416	522830	['ECK0490']
rhsD	523261	527541	['ECK0491']
ybbC	527581	527949	['ECK0492']
ylbH	527949	528659	['ECK0493', 'rhsH']
ybbD	528640	529130	['b0500', 'ECK0494']
ylbI	529497	529592	['ECK4441']
ylbG	529645	530016	['ECK0495']
selU	530132	531226	['ECK0496', 'mnmH', 'ybbB']
allS	531295	532221	['ECK0497', 'glxA1', 'ybbS']
allA	532451	532933	['ECK0498', 'glxA2', 'ybbT']
allR	533011	533826	['ECK0499', 'glxA3', 'ybbU']
allZ	533629	533863	['ECK4688']
gcl	533916	535697	['ECK0500']
hyi	535710	536486	['ECK0501', 'gip', 'ybbG']
glxR	536586	537464	['ECK0502', 'glxB1', 'ybbQ']
ybbW	537633	539087	['allP', 'ECK0504', 'glxB2']
allB	539147	540508	['ECK0505', 'glxB3', 'ybbX']
ybbY	540565	541866	['ECK0506', 'glxB4']
glxK	541888	543033	['ECK0507', 'glxB5', 'ybbZ']
allE	543261	544046	['ECK0508', 'glxB6', 'ughY', 'ylbA']
allC	544057	545292	['ECK0509', 'glxB7', 'ylbB']
allD	545314	546363	['ECK0510', 'glxB8', 'ylbC']
fdrA	546680	548347	['ECK0511', 'ylbD']
ylbE	548357	549616	['b0519', 'b4507', 'ECK0512', 'G0-10554']
ylbF	549627	550442	['ECK0513']
ybcF	550439	551332	['arcC', 'ECK0514']
purK	551527	552594	['ECK0515', 'purE2']
purE	552591	553100	['ade', 'ade(f)', 'ade3', 'ECK0516', 'Pur2']
lpxH	553218	553940	['ECK0517', 'ybbF']
ppiB	553943	554437	['ECK0518']
cysS	554611	555996	['ECK0519', 'syc']
ybcI	556032	556553	['ECK0520']
ybcJ	556661	556873	['ECK0521']
folD	556875	557741	['ads', 'ECK0522']
sfmA	558212	558754	['ECK0523']
sfmC	558974	559666	['ECK0524']
sfmD	559697	562300	['ECK0525']
sfmH	562336	563319	['ECK0526']
sfmF	563330	563845	['ECK0527', 'ybcG']
fimZ	563848	564480	['ECK0528', 'ybcA']
argU	564723	564799	['dnaY', 'ECK0529', 'pin']
intD	564815	565978	['ECK0530', 'int']
xisD	565858	566079	['ECK4435', 'ybcB']
exoD	566098	566361	['ECK0531', 'ybcC']
peaD	566376	566687	['ECK0532', 'ybcD']
renD	566684	568247	['ECK0533', 'ybcE']
insE3	566842	567141	['ECK0298']
insF3	567138	568004	['ECK0299', 'tra5-2']
renD	568035	568247	['ECK0533', 'ybcE']
emrE	568315	568647	['eb', 'ECK0534', 'mvrC']
ylcJ	568695	568844	['ECK4590']
ybcK	568902	570428	['ECK0535']
ybcL	570893	571444	['ECK0536']
ybcM	571454	572251	['ECK0537']
ylcH	572368	572469	['ECK4398']
ybcN	572466	572921	['ECK0538']
ninE	572921	573091	['ECK0539']
ybcO	573084	573374	['ECK0540']
rusA	573371	573733	['ECK0541', 'rus', 'ybcP']
ylcG	573730	573870	['ECK0542']
quuD	573956	574339	['ECK0543', 'ybcQ']
nmpC	574529	576825	['ECK0544', 'phmA']
insH2	574737	575717	['ECK0261', 'trs5-2', 'yi52_2']
nmpC	575786	576825	['ECK0544', 'phmA']
essD	577398	577613	['ECK0545', 'vlyS', 'ybcR']
rrrD	577613	578110	['ECK0546', 'lycV', 'ybcS']
rzpD	578107	578568	['ECK0547', 'ybcT']
rzoD	578327	578509	['ECK0548']
borD	578600	578893	['bor', 'ECK0549', 'iss', 'vboR', 'ybcU']
ybcV	579184	579594	['ECK0550']
ybcW	579880	580086	['ECK0551']
