geneid	start	synonyms
yaiT	392970	['b0371', 'b0374', 'ECK0368', 'ECK0369', 'yaiU']
iprA	394506	['ECK0370', 'yaiV']
ampH	395130	['ECK0371', 'yaiH']
sbmA	396639	['ECK0372']
yaiW	397872	['ECK0373']
yaiY	399025	['ECK0374']
yaiZ	399593	['ECK0375']
ddlA	399829	['ECK0376']
iraP	401386	['ECK0377', 'yaiB']
phoA	401747	['ECK0378', 'psiA']
psiF	403281	['ECK0379']
dgcC	403703	['adrA', 'ECK0380', 'yaiC']
proC	404835	['ECK0381', 'pro(3)', 'Pro2', 'pro3']
yaiI	405764	['ECK0382']
aroL	406405	['ECK0383']
yaiA	406979	['ECK0384']
aroM	407428	['ECK0385']
ppnP	408177	['ECK0386', 'yaiE']
ykiA	408609	['ECK0387']
ykiD	408947	['ECK4589']
rdgC	409108	['ECK0388', 'yaiD']
mak	410144	['ECK0389', 'yajF']
araJ	411297	['araT', 'ECK0390']
sbcC	412607	['ECK0391']
sbcD	415750	['ECK0392', 'yajA']
phoB	417142	['ECK0393', 'phoRc', 'phoT']
phoR	417889	['ECK0394', 'nmpB', 'phoR1', 'R1pho']
brnQ	419591	['ECK0395', 'hrbA']
proY	420986	['ECK0396', 'yajM']
malZ	422518	['ECK0397']
acpH	424337	['ECK0398', 'yajB']
queA	425011	['ECK0399', 'tsaA']
tgt	426137	['ECK0400', 'vacC(S.f.)']
yajC	427287	['ECK0401']
secD	427647	['ECK0402']
secF	429505	['ECK0403']
yajD	430605	['ECK0404']
tsx	431129	['ECK0405', 'nupA', 'T6rec']
yajI	432312	['ECK0406']
nrdR	433002	['ECK0407', 'ybaD']
ribD	433455	['ECK0408', 'nusII', 'ribG', 'ybaE']
ribE	434647	['ECK0409', 'nusIII', 'ribH', 'ybaF']
nusB	435137	['ECK0410', 'groNB', 'ssaD', 'ssyB']
thiL	435634	['ECK0411', 'thiJ']
pgpA	436589	['ECK0412', 'yajN']
yajO	437161	['ECK0413']
dxs	438315	['ECK0414', 'yajP']
ispA	440202	['ECK0415']
xseB	441101	['ECK0416', 'yajE']
thiI	441549	['ECK0417', 'nuvA', 'yajK']
yajL	443051	['ECK0418', 'thiJ']
panE	443604	['apbA', 'ECK0419']
yajQ	444683	['ECK0420']
yajR	445302	['ECK0421']
cyoE	446815	['ECK0422']
cyoD	447717	['ECK0423']
cyoC	448046	['ECK0424']
cyoB	448650	['ECK0425']
cyoA	450663	['ECK0426']
ampG	452070	['ECK0427']
yajG	453589	['ECK0428']
bolA	454472	['ECK0429']
tig	455133	['ECK0430']
clpP	456677	['ECK0431', 'lopP']
clpX	457426	['ECK0432', 'lopC']
lon	458888	['capR', 'deg', 'dir', 'ECK0433', 'lopA', 'muc']
hupB	461451	['dbhB', 'dpeA', 'ECK0434', 'hopD']
ppiD	461915	['ECK0435', 'ybaU']
ybaV	463937	['comEA', 'ECK0436']
fadM	464402	['ECK0437', 'tesC', 'ybaW']
queC	464852	['ECK0438', 'ybaX']
ybaE	465612	['ECK0439']
cof	467412	['ECK0440']
decR	468383	['cyuR', 'ECK0441', 'ybaO']
mdlA	468871	['ECK0442', 'mdl']
mdlB	470636	['ECK0443', 'mdl']
glnK	472598	['ECK0444', 'ybaI']
amtB	472966	['ECK0445', 'ybaG']
tesB	474301	['ECK0446']
ybaY	475379	['ECK0447']
ybaZ	475982	['atl', 'ECK0448']
ffs	476448	['ECK0449']
ybaA	476672	['ECK0450']
pdeB	477067	['ECK0451', 'ylaB']
ylaC	478781	['ECK0452']
maa	479367	['ECK0453', 'ylaD']
hha	480090	['ECK0454']
tomB	480334	['ECK0455', 'ybaJ']
acrB	481254	['acrE', 'ECK0456']
acrA	484426	['ECK0457', 'lir', 'Mb', 'mbl', 'mtcA', 'nbsA', 'sipB']
acrR	485761	['ECK0458', 'ybaH']
mscK	486536	['aefA', 'ECK0459', 'kefA']
ybaM	490110	['ECK0460']
priC	490285	['ECK0461']
ybaN	490882	['ECK0462']
apt	491412	['ECK0463']
dnaX	492092	['dnaZ', 'ECK0464']
ybaB	494076	['ECK0465']
recR	494405	['ECK0466']
htpG	495120	['ECK0467']
adk	497175	['dnaW', 'ECK0468', 'plsA']
hemH	498055	['ECK0469', 'popA', 'visA']
aes	499014	['ECK0470', 'ybaC']
gsk	500125	['ECK0471']
ybaL	501562	['ECK0472', 'ylaA']
fsr	503476	['ECK0473']
ushA	504914	['ECK0474']
ybaK	506603	['ECK0475']
chiX	507204	['ECK4396', 'micM', 'rybC', 'sroB']
ybaP	507286	['ECK0476']
ybaQ	508218	['ECK0477']
copA	508875	['ECK0478', 'ybaR']
glsA	511641	['ECK0479', 'ybaS']
ybaT	512576	['ECK0480']
cueR	513993	['copR', 'ECK0481', 'ybbI']
ybbJ	514401	['ECK0482']
qmcA	514856	['ECK0483', 'ybbK']
fetA	515919	['ECK0484', 'ybbL']
fetB	516583	['ECK0485', 'ybbM']
cnoX	517425	['ECK0486', 'ybbN']
ybbO	518340	['ECK0487']
tesA	519139	['apeA', 'ECK0488', 'pldC']
ybbA	519733	['ECK0489']
ybbP	520416	['ECK0490']
rhsD	523261	['ECK0491']
ybbC	527581	['ECK0492']
ylbH	527949	['ECK0493', 'rhsH']
ybbD	528640	['b0500', 'ECK0494']
ylbI	529497	['ECK4441']
ylbG	529645	['ECK0495']
selU	530132	['ECK0496', 'mnmH', 'ybbB']
allS	531295	['ECK0497', 'glxA1', 'ybbS']
allA	532451	['ECK0498', 'glxA2', 'ybbT']
allR	533011	['ECK0499', 'glxA3', 'ybbU']
allZ	533629	['ECK4688']
gcl	533916	['ECK0500']
hyi	535710	['ECK0501', 'gip', 'ybbG']
glxR	536586	['ECK0502', 'glxB1', 'ybbQ']
ybbW	537633	['allP', 'ECK0504', 'glxB2']
allB	539147	['ECK0505', 'glxB3', 'ybbX']
ybbY	540565	['ECK0506', 'glxB4']
glxK	541888	['ECK0507', 'glxB5', 'ybbZ']
allE	543261	['ECK0508', 'glxB6', 'ughY', 'ylbA']
allC	544057	['ECK0509', 'glxB7', 'ylbB']
allD	545314	['ECK0510', 'glxB8', 'ylbC']
fdrA	546680	['ECK0511', 'ylbD']
ylbE	548357	['b0519', 'b4507', 'ECK0512', 'G0-10554']
ylbF	549627	['ECK0513']
ybcF	550439	['arcC', 'ECK0514']
purK	551527	['ECK0515', 'purE2']
purE	552591	['ade', 'ade(f)', 'ade3', 'ECK0516', 'Pur2']
lpxH	553218	['ECK0517', 'ybbF']
ppiB	553943	['ECK0518']
cysS	554611	['ECK0519', 'syc']
ybcI	556032	['ECK0520']
ybcJ	556661	['ECK0521']
folD	556875	['ads', 'ECK0522']
sfmA	558212	['ECK0523']
sfmC	558974	['ECK0524']
sfmD	559697	['ECK0525']
sfmH	562336	['ECK0526']
sfmF	563330	['ECK0527', 'ybcG']
fimZ	563848	['ECK0528', 'ybcA']
argU	564723	['dnaY', 'ECK0529', 'pin']
intD	564815	['ECK0530', 'int']
xisD	565858	['ECK4435', 'ybcB']
exoD	566098	['ECK0531', 'ybcC']
peaD	566376	['ECK0532', 'ybcD']
renD	566684	['ECK0533', 'ybcE']
insE	566842	['ECK0298']
insF	567138	['ECK0299', 'tra5-2']
renD	568035	['ECK0533', 'ybcE']
emrE	568315	['eb', 'ECK0534', 'mvrC']
ylcJ	568695	['ECK4590']
ybcK	568902	['ECK0535']
ybcL	570893	['ECK0536']
ybcM	571454	['ECK0537']
ylcH	572368	['ECK4398']
ybcN	572466	['ECK0538']
ninE	572921	['ECK0539']
ybcO	573084	['ECK0540']
rusA	573371	['ECK0541', 'rus', 'ybcP']
ylcG	573730	['ECK0542']
quuD	573956	['ECK0543', 'ybcQ']
nmpC	574529	['ECK0544', 'phmA']
insH	574737	['ECK0261', 'trs5-2', 'yi52_2']
nmpC	575786	['ECK0544', 'phmA']
essD	577398	['ECK0545', 'vlyS', 'ybcR']
rrrD	577613	['ECK0546', 'lycV', 'ybcS']
rzpD	578107	['ECK0547', 'ybcT']
rzoD	578327	['ECK0548']
borD	578600	['bor', 'ECK0549', 'iss', 'vboR', 'ybcU']
ybcV	579184	['ECK0550']
ybcW	579880	['ECK0551']
ylcI	580251	['ECK4399']
nohD	580834	['ECK0552', 'nohB']
aaaD	581354	['ECK4439', 'ylcF']
tfaD	581534	['ECK0553', 'ybcX']
ybcY	582152	['ECK0554']
tfaX	582875	['ECK0555', 'ylcE']
appY	583681	['ECK0556']
ompT	584680	['ECK0557']
envY	586147	['ECK0558']
ybcH	587091	['ECK0559']
nfrA	587982	['ECK0560']
nfrB	590941	['ECK0561']
cusS	593328	['ECK0562', 'ybcZ']
cusR	594760	['ECK0563', 'ylcA']
cusC	595600	['ECK0564', 'ibeB', 'ylcB']
cusF	597131	['cusX', 'ECK0565', 'ylcC']
cusB	597479	['ECK0566', 'ylcD']
cusA	598714	['ECK0567', 'ybdE']
pheP	601959	['ECK0568']
ybdG	603416	['ECK0569']
nfsB	604771	['dprA', 'ECK0570', 'nfnB', 'ntr']
ybdF	605518	['ECK0571']
ybdJ	605951	['ECK0572']
ybdK	606265	['ECK0573']
sokE	607733	['ECK4692']
hokE	607836	['ECK0574', 'ybdY']
insL	608065	['ECK0016', 'yi81-2']
entD	609459	['ECK0575']
fepA	610254	['cbr', 'cbt', 'ECK0576', 'fep', 'feuB']
fes	612737	['ECK0577']
ybdZ	613942	['ECK0578']
entF	614157	['ECK0579']
fepE	618254	['ECK0580']
fepC	619384	['ECK0581']
fepG	620196	['ECK0582']
fepD	621185	['ECK0583']
entS	622300	['ECK0584', 'ybdA']
fepB	623554	['ECK0585']
entC	624885	['ECK0586', 'fepF']
entE	626070	['ECK0587']
entB	627694	['ECK0588', 'entG']
entA	628551	['ECK0589']
entH	629300	['ECK0590', 'ybdB']
cstA	629894	['ECK0591', 'ybdC']
ybdD	632182	['ECK0592']
hcxA	632389	['ECK0593', 'ybdH']
ybdL	633586	['ECK0594']
ybdM	634747	['ECK0595']
ybdN	635349	['ECK0596']
ybdO	636716	['ECK0597']
dsbG	637827	['ECK0598', 'ybdP']
ahpC	638945	['ECK0599', 'ssi8', 'tpx']
ahpF	639753	['ECK0600']
uspG	641439	['ECK0601', 'UP12', 'ybdQ', 'yzzU']
ybdR	642088	['ECK0602']
yldA	643330	['ECK4591']
rnk	643557	['ECK0603']
rna	644197	['ECK0604', 'rnsA']
citT	645117	['ECK0605', 'ybdS']
citG	646631	['ECK0606', 'ybdT']
citX	647484	['ECK0607', 'ybdU']
citF	648039	['ECK0608', 'ybdV']
citE	649582	['ECK0609', 'ybdW']
citD	650487	['ECK0610', 'ybdX']
citC	650798	['ECK0611', 'ybeO']
dpiB	652235	['citA', 'ECK0612', 'mpdB', 'ybeP']
dpiA	653862	['citB', 'criR', 'ECK0613', 'mpdA']
dcuC	654583	['ECK0614']
pagP	656557	['crcA', 'ECK0615', 'ybeG']
cspE	657292	['ECK0616', 'gicA', 'msmC']
crcB	657555	['ECK0617', 'ybeI']
ybeM	658031	['b0625', 'b0626', 'ECK0618', 'ECK0619', 'ybeH']
tatE	658947	['ECK0620', 'ybeC']
lipA	659251	['ECK0621', 'lip']
ybeF	660425	['ECK0622']
lipB	661637	['cde', 'ECK0623', 'lip']
ybeD	662379	['ECK0624']
dacA	662752	['ECK0625', 'pfv']
rlpA	664102	['ECK0626']
mrdB	665201	['ECK0627', 'rodA']
mrdA	666316	['ECK0628', 'pbpA']
rlmH	668248	['ECK0629', 'ybeA']
rsfS	668719	['ECK0630', 'rsfA', 'ybeB']
cobC	669296	['ECK0631', 'phpB']
nadD	669931	['ECK0632', 'fusB', 'ybeN']
holA	670574	['ECK0633']
lptE	671605	['ECK0634', 'rlpB']
leuS	672201	['ECK0635', 'syl']
ybeL	675018	['ECK0636']
